query_id,table_id,gold_row,gold_col,group,hit@10,hit@50
4,employment-table01,71,6,NOT_IN_ANY_CHUNK,0,0
19,employment-table03,1,3,full,1,1
21,employment-table03,1,7,full,1,1
31,employment-table05,2,0,full,1,1
42,employment-table07,2,6,NOT_IN_ANY_CHUNK,0,0
58,employment-table08,1,0,full,1,1
58,employment-table08,1,4,partial,0,0
59,employment-table08,30,2,partial,0,0
63,employment-table13,2,7,full,1,1
69,employment-table14,5,0,full,0,1
80,employment-table16,0,6,full,1,1
80,employment-table16,0,9,full,1,1
83,employment-table17,2,0,full,1,1
97,employment-table22,0,2,full,1,1
97,employment-table22,0,5,full,1,1
103,employment-table21,3,1,full,1,1
105,employment-table21,5,3,full,1,1
105,employment-table21,5,5,full,1,1
105,employment-table21,6,3,partial,0,0
105,employment-table21,7,3,partial,0,0
105,employment-table21,7,5,partial,0,0
105,employment-table21,8,3,partial,0,0
105,employment-table21,9,3,partial,0,0
105,employment-table21,10,3,partial,0,0
105,employment-table21,10,5,partial,0,0
105,employment-table21,11,3,partial,0,0
112,employment-table24,1,1,full,1,1
112,employment-table24,1,5,full,1,1
115,employment-table24,1,0,full,0,1
117,employment-table25,3,5,partial,0,1
121,employment-table26,48,4,NOT_IN_ANY_CHUNK,0,0
133,economy-table132,1,0,full,1,1
149,injuries-table03,4,0,full,0,1
180,productivity-table01,3,0,full,1,1
190,activitytime-table01,82,0,partial,0,0
201,activitytime-table03,49,4,partial,0,0
201,activitytime-table03,62,0,partial,0,0
202,activitytime-table05,78,1,partial,0,0
207,activitytime-table04,45,5,partial,0,1
260,agriculture-table02,7,1,partial,1,1
260,agriculture-table02,7,2,partial,1,1
266,health-table01,0,1,full,0,1
268,health-table01,12,0,partial,1,1
271,health-table01,10,1,full,0,1
272,agriculture-table03,1,5,full,1,1
326,environment-table03,3,2,full,1,1
330,environment-table03,5,2,full,0,0
330,environment-table03,5,3,full,0,0
330,environment-table03,5,4,full,0,0
330,environment-table03,14,2,partial,0,0
330,environment-table03,14,3,partial,0,0
330,environment-table03,14,4,partial,0,0
349,education-table03,4,0,full,1,1
353,education-table04,0,3,full,1,1
353,education-table04,0,5,full,1,1
365,education-table06,2,7,partial,0,0
371,education-table07,4,13,partial,0,1
375,education-table08,1,6,full,0,1
383,education-table10,4,0,partial,0,1
389,education-table11,0,5,full,1,1
389,education-table11,0,12,full,1,1
391,education-table12,1,6,partial,0,1
395,economy-table05,42,0,partial,0,0
400,economy-table06,6,0,partial,0,0
410,economy-table08,3,0,full,1,1
414,economy-table09,9,0,partial,0,0
419,economy-table10,14,0,partial,0,0
424,education-table14,7,0,partial,1,1
424,education-table14,17,10,partial,0,0
430,economy-table12,10,3,full,1,1
433,economy-table13,6,0,partial,0,0
454,economy-table15,10,11,full,1,1
464,environment-table04,3,0,full,1,1
474,economy-table25,0,0,full,1,1
500,business-table05,0,3,full,1,1
504,military-table21,19,0,partial,1,1
506,employment-table29,2,2,full,1,1
513,military-table22,1,14,full,1,1
525,environment-table06,4,1,partial,0,0
549,business-table06,10,18,full,1,1
552,business-table07,9,11,full,1,1
553,business-table07,9,1,full,1,1
553,business-table07,9,13,full,1,1
553,business-table07,9,15,full,1,1
557,employment-table31,12,9,full,0,0
567,transport-table08,2,0,full,1,1
567,transport-table08,2,1,full,1,1
582,society-table85,3,2,full,1,1
608,labor-table02,7,0,full,1,1
608,labor-table02,11,0,full,1,1
622,economy-table31,3,4,full,1,1
665,economy-table55,0,1,full,1,1
679,labor-table04,2,1,full,1,1
680,labor-table04,3,2,full,1,1
680,labor-table04,4,2,partial,1,1
699,sport-table05,0,12,full,1,1
702,economy-table36,2,7,full,1,1
702,economy-table36,3,7,partial,0,0
717,manufacture-table01,26,0,partial,0,0
719,manufacture-table01,3,0,full,1,1
719,manufacture-table01,63,0,partial,0,0
720,manufacture-table01,28,0,partial,0,0
728,economy-table38,0,4,full,1,1
728,economy-table38,0,6,full,1,1
775,economy-table43,37,5,partial,0,0
779,sport-table06,21,6,partial,0,0
803,labor-table12,0,10,NOT_IN_ANY_CHUNK,0,0
813,labor-table13,0,17,partial,0,0
869,food-table01,2,0,full,1,1
869,food-table01,9,0,full,1,1
869,food-table01,11,0,full,1,1
879,labor-table21,1,13,partial,0,0
888,sport-table07,2,6,full,1,1
889,sport-table07,4,6,full,0,0
891,labor-table22,2,0,partial,0,1
909,economy-table61,24,3,partial,1,1
963,manufacture-table12,13,0,full,0,0
963,manufacture-table12,13,4,partial,0,0
979,labor-table27,6,0,full,1,1
984,economy-table68,103,0,partial,1,1
985,economy-table68,68,1,partial,1,1
987,economy-table68,5,0,full,1,1
999,economy-table69,0,2,full,1,1
1029,health-table12,3,2,full,1,1
1030,health-table12,3,0,full,1,1
1061,labor-table33,5,0,full,1,1
1064,sport-table11,1,2,full,1,1
1085,sport-table12,6,0,full,1,1
1085,sport-table12,18,1,full,1,1
1111,manufacture-table17,58,5,partial,0,0
1143,economy-table81,6,0,full,1,1
1145,economy-table81,12,0,full,0,1
1153,economy-table84,0,0,full,1,1
1212,environment-table16,1,9,partial,0,0
1229,environment-table19,219,0,partial,0,1
1232,environment-table20,20,2,partial,0,0
1233,environment-table20,29,11,partial,0,1
1234,economy-table110,9,9,partial,0,0
1236,economy-table110,6,5,partial,0,0
1237,economy-table110,8,5,partial,0,0
1241,economy-table111,9,3,partial,0,0
1245,economy-table112,13,0,partial,0,0
1277,science-table09,39,9,partial,1,1
1302,science-table16,9,1,full,1,1
1303,science-table16,13,2,partial,1,1
1304,science-table16,23,0,partial,1,1
1305,science-table16,4,0,full,0,0
1338,science-table17,6,0,full,1,1
1339,science-table17,12,1,partial,1,1
1376,society-table25,22,0,partial,1,1
1377,society-table25,10,0,partial,1,1
1378,society-table25,9,0,partial,0,0
1380,society-table27,38,0,full,0,0
1390,society-table30,12,0,full,1,1
1407,society-table33,38,0,full,1,1
1409,society-table33,13,0,full,0,0
1410,society-table34,6,1,full,1,1
1426,society-table37,3,0,full,1,1
1427,society-table37,28,0,full,0,1
1428,society-table37,49,0,full,0,0
1430,society-table38,8,13,partial,0,0
1430,society-table38,31,10,partial,0,0
1431,society-table38,0,0,full,0,1
1432,society-table38,0,0,full,0,1
1433,society-table38,24,14,partial,0,0
1433,society-table38,25,7,partial,0,0
1435,society-table39,2,1,full,1,1
1435,society-table39,3,1,full,1,1
1435,society-table39,6,1,full,1,1
1435,society-table39,7,1,full,1,1
1456,society-table44,11,0,full,0,1
1461,society-table45,8,0,partial,0,1
1462,society-table45,8,0,partial,1,1
1463,society-table45,21,0,partial,1,1
1465,society-table46,13,0,full,0,0
1467,society-table46,14,0,full,0,0
1468,society-table46,58,0,full,0,0
1490,education-table26,7,24,partial,0,0
1495,education-table27,6,24,partial,0,0
1497,education-table27,8,3,full,0,0
1503,education-table28,8,3,full,0,0
1529,medical-table03,17,1,full,1,1
1543,environment-table40,83,1,partial,0,1
1546,environment-table41,10,0,partial,1,1
1551,environment-table42,10,0,full,1,1
1565,science-table20,0,0,partial,0,0
1570,science-table21,0,0,partial,0,0
1586,society-table55,67,6,partial,0,0
1641,science-table33,2,2,full,1,1
1646,science-table34,5,2,full,1,1
1651,science-table35,6,7,partial,0,0
1662,science-table39,19,2,partial,1,1
1666,science-table40,97,1,partial,0,0
1671,science-table41,14,0,partial,1,1
1679,science-table43,5,1,full,1,1
1741,health-table30,0,2,full,1,1
1754,health-table32,21,9,partial,0,0
1757,health-table33,2,6,partial,0,0
1771,health-table36,30,1,partial,1,1
1776,health-table37,30,1,partial,1,1
1781,health-table38,30,1,partial,0,1
1793,health-table40,6,0,full,1,1
1809,health-table43,16,9,NOT_IN_ANY_CHUNK,0,0
1891,education-table17,0,19,partial,0,1
1937,society-table08,1,0,full,1,1
1946,society-table06,34,0,partial,0,1
1998,education-table23,7,2,partial,0,1
2001,food-table10,2,3,partial,1,1
2001,food-table10,2,4,partial,1,1
2002,food-table10,2,7,partial,1,1
2031,education-table36,3,2,full,1,1
2042,economy-table108,2,2,full,1,1
